Program,Age ,Gender,Race,Household,House income 
Fall 1 2025 Level 2: Wed 4:55-5:25pm,6,female,"White/European descent, Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race), Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",4,"$90,001+"
 Fall 1 2025 Level 3: Tues 4:00-4:45pm,7,female,"White/European descent,",5,"$90,001+"
 Fall 1 2025 Level 3: Tues 4:00-4:45pm,9,male,"White/European descent,",5,"$90,001+"
 Fall 1 2025 Level 3: Wed 3:30-4:15pm,10,male,"White/European descent,",4,"$90,001+"
 Fall 1 2025 Level 3: Wed 3:30-4:15pm,12,female,"White/European descent,",4,"$90,001+"
 Fall 1 2025 Level 3: Wed 3:30-4:15pm,10,male,Multiracial,4,"$30,001-40,000"
 Fall 1 2025 Level 3: Wed 3:30-4:15pm,13,female,Multiracial,4,"$30,001-40,000"
Fall 1 2025 Level 3: Wed 5:25-6:10pm,7,female,"White/European descent,",3,"$90,001+"
Fall 1 2025 Level 3: Wed 5:25-6:10pm,8,female,"White/European descent,",3,"$40,001-50,000"
Fall 1 2025 Level 3: Wed 5:25-6:10pm,7,female,"White/European descent, Black/African-American (having origins in Sub-Saharan Africa)",2,"$40,001-50,000"
Fall 1 2025 Level 3: Wed 5:25-6:10pm,9,female,"White/European descent,",5,"$30,001-40,000"
Fall 1 2025 Level 3: Wed 5:25-6:10pm,9,female,"White/European descent,",5,"$30,001-40,000"
 Fall 1 2025 Level 4: Thurs 5:15-6pm,7,male,Multiracial,4,"<$10,000"
 Fall 1 2025 Level 4: Thurs 5:15-6pm,10,male,"White/European descent, Black/African-American (having origins in Sub-Saharan Africa)",7,"$90,001+"
 Fall 1 2025 Level 4: Thurs 5:15-6pm,9,female,"White/European descent,",7,"$90,001+"
 Fall 1 2025 Level 4: Thurs 5:15-6pm,8,female,"White/European descent,",4,"$90,001+"
 Fall 1 2025 Level 4: Thurs 5:15-6pm,9,female,"White/European descent,",3,"$90,001+"
Fall 1 2025 Level 4: Wed 6:10-6:55pm,6,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 Level 4: Wed 6:10-6:55pm,11,male,"White/European descent,",3,"$90,001+"
Fall 1 2025 Level 5: Thurs 5:15-6pm,11,female,Multiracial,4,"$40,001-50,000"
Fall 1 2025 Level 5: Thurs 5:15-6pm,9,male,Black/African-American (having origins in Sub-Saharan Africa,2,"<$10,000"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,1,male,"White/European descent,",3,"$90,001+"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,2,female,"White/European descent,",4,"<$10,000"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,0,male,"White/European descent,",3,"$90,001+"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,0,male,Multiracial,3,"$90,001+"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,0,male,"White/European descent,",5,"$50,001-60,000"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,0,female,"White/European descent,",5,"$50,001-60,000"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,2,male,"White/European descent,",5,"$60,001-70,000"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,3,male,"White/European descent,",5,"$60,001-70,000"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,1,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,2,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,0,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 Parent & Child (A): Tues 4:45-5:15pm,2,male,"White/European descent,",3,"$90,001+"
 Single Gender Swim / SGS 03/19/2025,23,female,Black/African-American (having origins in Sub-Saharan Africa,2,"<$10,000"
 Fall 1 2025 Parent & Child (B): Thurs 5:20-5:50pm,1,female,"White/European descent,",3,"$90,001+"
 Fall 1 2025 Parent & Child (B): Thurs 5:20-5:50pm,4,male,"White/European descent, Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",4,"<$10,000"
 Fall 1 2025 Parent & Child (B): Thurs 5:20-5:50pm,2,male,"White/European descent,",3,"$90,001+"
 Fall 1 2025 Parent & Child (B): Thurs 5:20-5:50pm,2,male,"White/European descent,",3,"$90,001+"
 Fall 1 2025 Parent & Child (B): Thurs 5:20-5:50pm,3,female,"White/European descent, Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race), American Indian/Alaskan Native (e.g. Aboriginal Australian, First Nations, Native American, Native Hawaiian, Pacific Islander, Samoan)",4,"$90,001+"
 Fall 1 2025 Parent & Child (B): Thurs 5:20-5:50pm,3,male,"White/European descent,",5,"$90,001+"
Fall 1 2025 PreK 1 & 2: Fri 9:30-10am,3,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 PreK 1 & 2: Fri 9:30-10am,4,female,Multiracial,6,"$90,001+"
Fall 1 2025 PreK 1 & 2: Fri 9:30-10am,3,female,Multiracial,4,"$50,001-60,000"
Fall 1 2025 PreK 1 & 2: Fri 9:30-10am,3,female,Black/African-American (having origins in Sub-Saharan Africa,6,"$20,001-30,000"
Fall 1 2025 PreK 1: Thurs 3:20-3:50pm,3,female,"White/European descent,",4,"<$10,000"
Fall 1 2025 PreK 1: Thurs 3:20-3:50pm,3,female,"White/European descent,",4,"<$10,000"
Fall 1 2025 PreK 1: Thurs 3:20-3:50pm,3,male,"White/European descent,",4,"$70,001-80,000"
Fall 1 2025 PreK 1: Thurs 3:20-3:50pm,3,female,"White/European descent,",3,"$90,001+"
Fall 1 2025 PreK 1: Thurs 3:20-3:50pm,5,female,"White/European descent,",3,"$70,001-80,000"
Fall 1 2025 PreK 1: Thurs 3:20-3:50pm,3,female,Black/African-American (having origins in Sub-Saharan Africa,3,"<$10,000"
Fall 1 2025 PreK 1: Tues 3-3:30pm,5,female,"White/European descent,",3,"$60,001-70,000"
Fall 1 2025 PreK 1: Tues 3-3:30pm,4,female,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Fall 1 2025 PreK 1: Tues 3-3:30pm,3,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Fall 1 2025 PreK 1: Tues 3-3:30pm,3,male,"Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race)",5,"$90,001+"
Fall 1 2025 PreK 1: Tues 3-3:30pm,3,male,"hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race)",5,"$90,001+"
Fall 1 2025 PreK 1: Tues 3-3:30pm,3,female,"White/European descent,",5,"$90,001+"
Fall 1 2025 PreK 1: Wed 5-5:30pm,3,female,"White/European descent,",3,"$90,001+"
Fall 1 2025 PreK 1: Wed 5-5:30pm,3,female,"White/European descent,",3,"<$10,000"
Fall 1 2025 PreK 1: Wed 5-5:30pm,3,male,"White/European descent,",3,"$70,001-80,000"
Fall 1 2025 PreK 1: Wed 5-5:30pm,3,male,"White/European descent,",3,"$80,001-90,000"
Fall 1 2025 PreK 1: Wed 5:30-6pm,3,male,"White/European descent,",3,"$90,001+"
Fall 1 2025 PreK 1: Wed 5:30-6pm,3,male,Multiracial,3,"$90,001+"
Fall 1 2025 PreK 1: Wed 5:30-6pm,3,female,"White/European descent, Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race), Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",4,"$90,001+"
Fall 1 2025 PreK 1: Wed 5:30-6pm,3,female,"White/European descent,",3,"$90,001+"
Fall 1 2025 PreK 2: Thurs 4:45-5:15pm,5,male,"White/European descent,",2,"$30,001-40,000"
Fall 1 2025 PreK 2: Thurs 4:45-5:15pm,5,female,"White/European descent,",3,"$40,001-50,000"
Fall 1 2025 PreK 2: Thurs 4:45-5:15pm,4,male,"White/European descent,",3,"$90,001+"
Fall 1 2025 PreK 2: Thurs 4:45-5:15pm,4,male,"White/European descent,",2,"<$10,000"
Fall 1 2025 PreK 2: Thurs 4:45-5:15pm,5,female,"White/European descent,",4,"$70,001-80,000"
Fall 1 2025 PreK 2: Thurs 4:45-5:15pm,5,male,"White/European descent,",4,"$80,001-90,000"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,4,female,"White/European descent,",3,"$20,001-30,000"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,3,male,"Black/African-American (having origins in Sub-Saharan Africa), Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race),",4,"$90,001+"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,4,female,"Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",3,"$50,001-60,000"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,5,female,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,2,male,Black/African-American (having origins in Sub-Saharan Africa,2,"$30,001-40,000"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,4,female,"White/European descent, Black/African-American (having origins in Sub-Saharan Africa)",4,"$50,001-60,000"
 Fall 1 2025 PreK 2: Tues 3:00-3:30pm,4,female,"White/European descent, Black/African-American (having origins in Sub-Saharan Africa), Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race),",4,"$30,001-40,000"
 Fall 1 2025 PreK 2: Wed 4:20-4:50pm,4,female,"White/European descent, Hispanic/Latino/Latinx (e.g. identify as Hispanic or Latino with ties to Latin America, can be any race)",4,"$60,001-70,000"
 Fall 1 2025 PreK 2: Wed 4:20-4:50pm,4,male,Black/African-American (having origins in Sub-Saharan Africa,7,"$70,001-80,000"
Fall 1 2025 PreK 2: Wed 6-6:30pm,5,female,"White/European descent,",4,"$80,001-90,000"
Fall 1 2025 PreK 2: Wed 6-6:30pm,4,female,"White/European descent,",4,"$90,001+"
Fall 1 2025 PreK 2: Wed 6-6:30pm,4,female,"White/European descent,",3,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,39,male,"White/European descent,",3,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,33,female,"White/European descent,",3,"$60,001-70,000"
Family Swim 03/30/2025 12pm-1:00pm,6,female,"White/European descent,",3,"$60,001-70,000"
Family Swim 03/30/2025 12pm-1:00pm,69,female,"White/European descent,",3,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,46,female,"White/European descent,",3,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,3,male,"White/European descent,",3,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,8,male,"White/European descent,",1,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,15,male,"White/European descent,",4,"$40,001-50,000"
Family Swim 03/30/2025 12pm-1:00pm,69,female,"White/European descent,",2,"$40,001-50,000"
Family Swim 03/30/2025 12pm-1:00pm,12,male,"White/European descent,",4,"$40,001-50,000"
Family Swim 03/30/2025 12pm-1:00pm,27,female,"White/European descent,",3,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,28,male,"White/European descent,",2,"$90,001+"
Family Swim 03/30/2025 12pm-1:00pm,24,male,"White/European descent,",2,"$80,001-90,000"
Family Swim 03/30/2025 12pm-1:00pm,57,male,"White/European descent,",2,"$80,001-90,000"
Family Swim 04/03/25 6:00-7:00pm,16,female,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Family Swim 04/03/25 6:00-7:00pm,30,female,"White/European descent,",3,"$50,001-60,000"
Family Swim 04/03/25 6:00-7:00pm,1,male,"White/European descent,",3,"$50,001-60,000"
Family Swim 04/03/25 6:00-7:00pm,5,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$40,001-50,000"
Family Swim 04/03/25 6:00-7:00pm,14,female,"White/European descent,",5,"<$10,000"
Family Swim 04/03/25 6:00-7:00pm,41,female,"White/European descent,",5,"$10,001-20,000"
Family Swim 04/03/25 6:00-7:00pm,14,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$20,001-30,000"
Family Swim 04/03/25 6:00-7:00pm,7,male,"White/European descent,",5,"$10,001-20,000"
Family Swim 04/04/25 5:45-6:45pm,22,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$40,001-50,000"
Family Swim 04/04/25 5:45-6:45pm,20,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$40,001-50,000"
Family Swim 04/04/25 5:45-6:45pm,10,male,"White/European descent,",4,"$90,001+"
Family Swim 04/04/25 5:45-6:45pm,15,male,"White/European descent,",4,"$90,001+"
Family Swim 04/04/25 5:45-6:45pm,45,female,"White/European descent,",4,"$90,001+"
Family Swim 04/04/25 5:45-6:45pm,13,female,"White/European descent,",4,"$40,001-50,000"
Family Swim 04/04/25 5:45-6:45pm,11,female,"White/European descent,",4,"$40,001-50,000"
Family Swim 04/04/25 5:45-6:45pm,39,male,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/04/25 5:45-6:45pm,11,male,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/04/25 5:45-6:45pm,10,male,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/04/25 5:45-6:45pm,27,female,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/11/25 5:45-6:45pm,8,female,Black/African-American (having origins in Sub-Saharan Africa,4,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,5,female,Black/African-American (having origins in Sub-Saharan Africa,4,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,7,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,33,female,Black/African-American (having origins in Sub-Saharan Africa,5,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,10,male,"White/European descent,",4,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,15,male,"White/European descent,",4,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,45,female,"White/European descent,",4,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,34,female,"White/European descent,",3,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,3,male,"White/European descent,",3,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,65,female,"White/European descent,",2,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,37,female,"Black/African-American (having origins in Sub-Saharan Africa), Middle Eastern/North African (including the Middle East, North Africa, and the Arab world)",4,"$10,001-20,000"
Family Swim 04/11/25 5:45-6:45pm,34,female,"White/European descent,",3,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,11,female,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/11/25 5:45-6:45pm,68,female,"White/European descent,",7,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,47,female,"Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",7,"$90,001+"
Family Swim 04/11/25 5:45-6:45pm,39,male,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/11/25 5:45-6:45pm,11,male,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/11/25 5:45-6:45pm,10,male,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/11/25 5:45-6:45pm,27,female,"White/European descent,",4,"$70,001-80,000"
Family Swim 04/11/25 5:45-6:45pm,9,male,Black/African-American (having origins in Sub-Saharan Africa,3,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,5,female,Black/African-American (having origins in Sub-Saharan Africa,3,"$20,001-30,000"
Family Swim 04/11/25 5:45-6:45pm,41,female,"White/European descent,",4,"$50,001-60,000"
Family Swim 04/11/25 5:45-6:45pm,9,female,"White/European descent,",4,"<$10,000"
Family Swim 04/11/25 5:45-6:45pm,7,male,"White/European descent,",4,"<$10,000"
Family Swim 04/11/25 5:45-6:45pm,44,male,"White/European descent,",4,"$60,001-70,000"
Family Swim 04/13/2025 12pm-1:00pm,28,female,Black/African-American (having origins in Sub-Saharan Africa,7,"$30,001-40,000"
Family Swim 04/13/2025 12pm-1:00pm,2,male,Black/African-American (having origins in Sub-Saharan Africa,7,"$30,001-40,000"
Family Swim 04/13/2025 12pm-1:00pm,5,female,Black/African-American (having origins in Sub-Saharan Africa,7,"$30,001-40,000"
Family Swim 04/13/2025 12pm-1:00pm,42,female,Black/African-American (having origins in Sub-Saharan Africa,3,"$40,001-50,000"
Family Swim 04/13/2025 12pm-1:00pm,46,female,"White/European descent,",3,"$90,001+"
Family Swim 04/13/2025 12pm-1:00pm,39,female,"White/European descent,",3,"$80,001-90,000"
Family Swim 04/13/2025 12pm-1:00pm,5,female,Multiracial,3,"$80,001-90,000"
Family Swim 04/13/2025 12pm-1:00pm,47,male,"Asian (e.g. Central Asian, East Asian, South Asian, Southeast Asian)",3,"$90,001+"
Family Swim 04/13/2025 12pm-1:00pm,40,male,"White/European descent,",3,"$90,001+"
Family Swim 04/13/2025 12pm-1:00pm,8,male,"White/European descent,",1,"$90,001+"
Family Swim 04/13/2025 12pm-1:00pm,43,female,"White/European descent,",3,"$90,001+"
Family Swim 04/13/2025 12pm-1:00pm,3,female,"White/European descent, Black/African-American (having origins in Sub-Saharan Africa)",3,"$90,001+"
Family Swim 04/13/2025 12pm-1:00pm,34,female,"White/European descent,",3,"$20,001-30,000"
Family Swim 04/13/2025 12pm-1:00pm,11,female,"White/European descent,",3,"$20,001-30,000"
Family Swim 04/13/2025 12pm-1:00pm,4,male,"White/European descent,",4,"<$10,000"
Family Swim 04/13/2025 12pm-1:00pm,64,female,"White/European descent,",4,"$60,001-70,000"
Family Swim 04/13/2025 12pm-1:00pm,14,female,"White/European descent,",5,"<$10,000"
Family Swim 04/13/2025 12pm-1:00pm,41,female,"White/European descent,",5,"$10,001-20,000"
Family Swim 04/13/2025 12pm-1:00pm,6,male,Black/African-American (having origins in Sub-Saharan Africa,3,"$10,001-20,000"
Family Swim 04/13/2025 12pm-1:00pm,5,female,Black/African-American (having origins in Sub-Saharan Africa,3,"$10,001-20,000"
Family Swim 04/13/2025 12pm-1:00pm,14,male,Black/African-American (having origins in Sub-Saharan Africa,5,"$20,001-30,000"
Family Swim 04/13/2025 12pm-1:00pm,7,male,"White/European descent,",5,"$10,001-20,000"
Family Swim 04/13/2025 12pm-1:00pm,3,male,"White/European descent,",3,"$20,001-30,000"
Family Swim 04/18/25 5:45-6:45pm,17,male,Black/African-American (having origins in Sub-Saharan Africa,7,"<$10,000"
Family Swim 04/18/25 5:45-6:45pm,17,male,Black/African-American (having origins in Sub-Saharan Africa,6,"<$10,000"
Family Swim 04/18/25 5:45-6:45pm,17,male,Black/African-American (having origins in Sub-Saharan Africa,4,"<$10,000"
Family Swim 04/18/25 5:45-6:45pm,17,male,Black/African-American (having origins in Sub-Saharan Africa,4,"<$10,000"
Family Swim 04/18/25 5:45-6:45pm,10,male,"White/European descent,",4,"$90,001+"
Family Swim 04/18/25 5:45-6:45pm,15,male,"White/European descent,",4,"$90,001+"
Family Swim 04/18/25 5:45-6:45pm,45,female,"White/European descent,",4,"$90,001+"
Family Swim 04/18/25 5:45-6:45pm,39,female,"White/European descent,",3,"$90,001+"
Family Swim 04/18/25 5:45-6:45pm,23,male,Black/African-American (having origins in Sub-Saharan Africa,4,"$50,001-60,000"
Family Swim 04/18/25 5:45-6:45pm,24,male,"White/European descent,",2,"$80,001-90,000"
Family Swim 04/18/25 5:45-6:45pm,57,male,"White/European descent,",2,"$80,001-90,000"
Family Swim 04/18/25 5:45-6:45pm,0,male,"White/European descent,",3,"$90,001+"
Family Swim 04/18/25 5:45-6:45pm,41,female,"White/European descent,",5,"$10,001-20,000"
Family Swim 04/18/25 5:45-6:45pm,29,female,"White/European descent,",1,"$60,001-70,000"
Family Swim 04/18/25 5:45-6:45pm,39,male,"White/European descent,",5,"$30,001-40,000"
Family Swim 04/18/25 5:45-6:45pm,7,male,"White/European descent,",5,"$10,001-20,000"
Family Swim 04/18/25 5:45-6:45pm,41,female,"White/European descent,",4,"$50,001-60,000"
Family Swim 04/18/25 5:45-6:45pm,9,female,"White/European descent,",4,"<$10,000"
Family Swim 04/18/25 5:45-6:45pm,7,male,"White/European descent,",4,"<$10,000"
Family Swim 04/18/25 5:45-6:45pm,44,male,"White/European descent,",4,"$60,001-70,000"
Family Swim 04/18/25 5:45-6:45pm,17,male,Black/African-American (having origins in Sub-Saharan Africa,4,"<$10,000"
